loss,hyperparameters,iteration,runtime,loss
96.03278248852249,"{'alpha': 71.43114627770255, 'l1_ratio': 0.9236204775415244}",1,0.02392678242176771,96.03278248852249
38.10783145880943,"{'alpha': 1.0970240691444084, 'l1_ratio': 0.39473434728266643}",2,0.022301161661744118,38.10783145880943
96.03278248852249,"{'alpha': 87.347807279398, 'l1_ratio': 0.4117810591279579}",3,0.04245169833302498,96.03278248852249
55.684452437127675,"{'alpha': 3.395518569721356, 'l1_ratio': 0.3879556684032338}",4,0.020374896936118603,55.684452437127675
96.03278248852249,"{'alpha': 76.47260097032289, 'l1_ratio': 0.4636571669121561}",5,0.02271738601848483,96.03278248852249
96.03278248852249,"{'alpha': 60.25069672942696, 'l1_ratio': 0.7077268034187099}",6,0.029762659687548876,96.03278248852249
92.78273420632365,"{'alpha': 77.53907107194964, 'l1_ratio': 0.02577348181879613}",7,0.026281995698809624,92.78273420632365
96.03278248852249,"{'alpha': 41.100581852288315, 'l1_ratio': 0.5013865217150255}",8,0.03344932897016406,96.03278248852249
96.03278248852249,"{'alpha': 79.30766838046785, 'l1_ratio': 0.31577668170523987}",9,0.02053673705086112,96.03278248852249
96.03278248852249,"{'alpha': 64.84025265788519, 'l1_ratio': 0.27527307550191904}",10,0.017226407304406166,96.03278248852249
96.03278248852249,"{'alpha': 93.1059736363991, 'l1_ratio': 0.29473703329664924}",11,0.014368555042892694,96.03278248852249
96.03278248852249,"{'alpha': 29.130096146898328, 'l1_ratio': 0.9843293565919776}",12,0.026219684164971113,96.03278248852249
96.03278248852249,"{'alpha': 77.89241026269231, 'l1_ratio': 0.12213917089907356}",13,0.021005617920309305,96.03278248852249
96.03278248852249,"{'alpha': 66.66829203557148, 'l1_ratio': 0.26643492411374625}",14,0.049599251709878445,96.03278248852249
96.03278248852249,"{'alpha': 45.781656648657005, 'l1_ratio': 0.3692072927433341}",15,0.024742486886680126,96.03278248852249
96.03278248852249,"{'alpha': 44.59735924642604, 'l1_ratio': 0.695412475992604}",16,0.01773102767765522,96.03278248852249
96.03278248852249,"{'alpha': 70.72740887423787, 'l1_ratio': 0.3860183486350419}",17,0.01894449722021818,96.03278248852249
90.90622941687471,"{'alpha': 11.22395497445598, 'l1_ratio': 0.4724103026230103}",18,0.01915688905864954,90.90622941687471
96.03278248852249,"{'alpha': 83.93600851955493, 'l1_ratio': 0.2682631931528304}",19,0.017296135891228914,96.03278248852249
96.03278248852249,"{'alpha': 50.74051391007907, 'l1_ratio': 0.4068424477637075}",20,0.020071395207196474,96.03278248852249
54.12802005126855,"{'alpha': 3.069773485883614, 'l1_ratio': 0.5891989927805978}",21,0.013112307991832495,54.12802005126855
96.03278248852249,"{'alpha': 16.621176595265503, 'l1_ratio': 0.594245704312516}",22,0.01329581392928958,96.03278248852249
31.72488982599345,"{'alpha': 0.3615338467324317, 'l1_ratio': 0.8137482090423913}",23,0.012035711202770472,31.72488982599345
96.03278248852249,"{'alpha': 24.479246594580946, 'l1_ratio': 0.8441941543063367}",24,0.01297178165987134,96.03278248852249
37.79253531385963,"{'alpha': 0.9823856250741555, 'l1_ratio': 0.15158201847361166}",25,0.014965019188821316,37.79253531385963
93.31243974653232,"{'alpha': 28.08670593399423, 'l1_ratio': 0.1509175349793675}",26,0.017088469117879868,93.31243974653232
96.03278248852249,"{'alpha': 15.91921734461209, 'l1_ratio': 0.8367729882723854}",27,0.011952704284340143,96.03278248852249
64.80814197154238,"{'alpha': 7.949656130981071, 'l1_ratio': 0.015331794071700405}",28,0.017687322106212378,64.80814197154238
96.03278248852249,"{'alpha': 33.22365315097692, 'l1_ratio': 0.9066524778110158}",29,0.017896519973874092,96.03278248852249
96.03278248852249,"{'alpha': 20.15430497954065, 'l1_ratio': 0.7452527214786583}",30,0.016823894809931517,96.03278248852249
94.17073724970524,"{'alpha': 35.092395236141236, 'l1_ratio': 0.12967500687701877}",31,0.023253279738128185,94.17073724970524
96.03278248852249,"{'alpha': 53.653737424801754, 'l1_ratio': 0.6092564845094145}",32,0.02426593517884612,96.03278248852249
96.03278248852249,"{'alpha': 9.679485464712018, 'l1_ratio': 0.9960112600670945}",33,0.022973300889134407,96.03278248852249
46.193749584095436,"{'alpha': 2.0788643102658324, 'l1_ratio': 0.19437631130486374}",34,0.024032824207097292,46.193749584095436
36.31444165508359,"{'alpha': 1.0904059130101094, 'l1_ratio': 0.7806262946859027}",35,0.025235201232135296,36.31444165508359
96.03278248852249,"{'alpha': 22.606116940837904, 'l1_ratio': 0.7868170160967167}",36,0.027085409965366125,96.03278248852249
95.19501958853945,"{'alpha': 7.83677542872327, 'l1_ratio': 0.9487026663834683}",37,0.02582296496257186,95.19501958853945
96.03278248852249,"{'alpha': 38.17114049913914, 'l1_ratio': 0.656890814787163}",38,0.01690817205235362,96.03278248852249
94.99161132338952,"{'alpha': 12.73318251721656, 'l1_ratio': 0.5290904355253061}",39,0.02020194288343191,94.99161132338952
96.03278248852249,"{'alpha': 98.90322623553752, 'l1_ratio': 0.8600731049559582}",40,0.015960661694407463,96.03278248852249
96.03278248852249,"{'alpha': 58.501004424458785, 'l1_ratio': 0.7713120371002331}",41,0.01659469585865736,96.03278248852249
72.85766568982028,"{'alpha': 5.3113625185025715, 'l1_ratio': 0.9050700232462174}",42,0.014555855188518763,72.85766568982028
31.25727550606055,"{'alpha': 0.3631862042777553, 'l1_ratio': 0.6687813423848414}",43,0.01830888306722045,31.25727550606055
96.03278248852249,"{'alpha': 30.01445853239734, 'l1_ratio': 0.5286482900395595}",44,0.01970112230628729,96.03278248852249
